Date,Close,High,Low,Open,Volume,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0_2.0,BBM_20_2.0_2.0,BBU_20_2.0_2.0,BBB_20_2.0_2.0,BBP_20_2.0_2.0
2025-09-29,742.1588134765625,749.5264964028529,737.9159094495395,747.4698773667765,9246800,43.7408396915049,0.6125791254875139,-3.118207011017313,3.7307861365048267,728.5365489057431,755.6308349609375,782.7251210161319,7.171302387784387,0.2513862986289654
2025-09-30,733.15380859375,741.729431724798,725.0872827303901,741.0106631587118,16226800,39.94584627059161,-1.166502691547521,-3.917831062441878,2.751328370894357,728.4842870744404,755.6191467285157,782.754006382591,7.1821524829159715,0.08604285370991906
2025-10-01,716.142333984375,720.6447527663656,709.0142405229949,720.2853684573676,20419600,33.952863713819355,-3.9041174436300707,-5.324356651619542,1.4202392079894715,723.4544414541176,754.6601104736328,785.865779493148,8.270125474084004,-0.11715992157017713
2025-10-02,725.8360595703125,726.5548890984803,716.9409630753169,721.3735522103992,11415300,39.52099502042333,-5.2311922887637365,-5.321145197402567,0.08995290863882999,719.9716466279059,753.6071166992188,787.2425867705316,8.926526654534637,0.08717602177066443
2025-10-03,709.3735961914062,729.7794705550638,708.9942257916973,728.4117628788885,16154300,34.241450951328915,-7.524553507755513,-6.091605133115475,-1.4329483746400387,712.5094066375542,751.5414459228515,790.5734852081488,10.38719540939438,-0.04016969781193529
2025-10-06,714.465087890625,715.6830826309072,689.3571155710283,704.0125981338592,21654700,37.042686556748556,-8.829437706084832,-5.917191465155835,-2.9122462409289973,707.3233040057468,749.7378326416015,792.1523612774562,11.31449602494055,0.08419030123136863
2025-10-07,711.889404296875,717.3003375901077,704.5716259627259,716.5216106896504,12062900,36.20251436060179,-9.956630140105403,-5.635507119341125,-4.321123020764278,702.0833645144467,747.1370056152343,792.190646716022,12.060342550878735,0.10882627400182428
2025-10-08,716.6414794921875,718.4484549738279,706.6281969142439,712.2587946669486,10790600,38.953583346459546,-10.347209323371771,-4.820869042085994,-5.526340281285777,698.4289351685222,745.4581756591797,792.4874161498371,12.61753966252267,0.19363000692391857
2025-10-09,732.2852783203125,732.2852783203125,711.2504512938121,717.0807271377935,12717200,47.048619729436886,-9.287363371568972,-3.0088184722265554,-6.278544899342417,697.2610434034774,744.6154052734375,791.9697671433977,12.71914643038326,0.3698100189061272
2025-10-10,704.1223754882812,734.0423674154782,703.333716456913,729.6995938834806,16980100,37.42672973722846,-10.597774166625527,-3.455383413826487,-7.14239075279904,691.6944529147404,742.1305419921875,792.5666310696347,13.592241856009773,0.12320466159119867
2025-10-13,714.5050048828125,718.7379155876384,706.4584651360833,711.8194939498104,9251800,42.125811819319765,-10.675432995477877,-2.8264337941430693,-7.8489992013348076,688.8289749869433,739.7103759765625,790.5917769661818,13.75711430908234,0.2523125287087475
2025-10-14,707.4668579101562,714.3553010671379,698.1624113283383,706.5983153422467,8829800,39.936393805018746,-11.176067072933392,-2.6616542972788686,-8.514412775654524,686.6150120284033,736.2249786376954,785.8349452469874,13.476849617650833,0.21015783023977452
